OID_,Aspect,MTSFG,ALT,Wind,Tem,Sun,Pre,NDVI,Night,GPP,ET,Disturb,Water,Road,Rail,CLCD,Sand,Clay,Silt,Slope,long,lat,Relief,Erosion,Rock,DEM,Frozen2005
24,198.621,0.0,0.0,2.20941,-16.6133,3.95908,1115.66,-0.063735,0.6,0.0,157.0,0.0,6731.46,18296.0,118140.0,6.0,0.0,0.0,0.0,27.01,90.2924,28.2,41.0,31.0,-1.0,6329.0,0.0
25,148.503,0.0,0.0,2.20774,-17.7617,3.95762,1117.11,-0.0672517,0.2,0.0,157.0,0.0,7603.45,17945.0,117881.0,6.0,0.0,0.0,0.0,22.1422,90.3025,28.2013,33.0,31.0,-1.0,6449.0,0.0
26,278.486,0.0,1.08773,2.22517,-13.75,3.96909,1096.26,-0.0113317,3.4,0.717391,151.567,0.272696,1030.78,21198.4,119218.0,7.0,0.0,0.0,0.0,37.8409,90.2199,28.1996,67.0,22.0,-1.0,6147.0,1.08773
27,101.767,0.0,1.08773,2.22355,-13.4583,3.96763,1103.49,0.0210183,2.0,3.33771,110.813,0.142524,1600.78,20570.7,118903.0,7.0,0.0,0.0,0.0,25.6925,90.2297,28.2009,37.0,31.0,-1.0,6162.0,1.08773
28,323.354,0.0,1.16356,2.22194,-11.425,3.96617,1104.81,0.0383583,2.6,3.71946,134.73,0.0,2462.21,19986.8,118596.0,7.0,0.0,0.0,0.0,32.6157,90.2398,28.2022,52.0,31.0,-1.0,5929.0,1.16356
29,357.935,0.0,1.15504,2.22031,-11.09,3.96471,1106.14,-0.073475,3.2,0.0,157.0,0.0,3051.64,19438.5,118296.0,6.0,0.0,0.0,0.0,5.78763,90.2503,28.2039,7.0,31.0,-1.0,5685.0,1.15504
30,275.638,0.0,1.16141,2.21868,-11.5317,3.96325,1107.5,-0.0748467,2.6,0.0,157.0,0.0,3716.52,18933.5,118004.0,6.0,0.0,0.0,0.0,6.45766,90.2604,28.2052,8.0,22.0,-1.0,5718.0,1.16141
31,316.986,0.0,0.854103,2.21704,-13.395,3.96178,1108.89,-0.0665267,2.2,0.0,157.0,0.199579,4506.94,18471.9,117720.0,6.0,0.0,0.0,0.0,10.3645,90.2705,28.2065,14.0,31.0,-1.0,5919.0,0.854103
32,277.025,0.0,0.881635,2.21539,-15.3,3.96032,1110.3,-0.0464533,0.8,0.0,157.0,0.631454,5367.73,18051.5,117444.0,5.0,0.0,0.0,0.0,9.41242,90.2806,28.2078,16.0,31.0,-1.0,6023.0,0.881635
33,310.577,0.0,0.213975,2.21374,-16.1267,3.95886,1111.74,-0.06793,1.6,0.0,157.0,0.0,6269.97,17669.1,117175.0,6.0,0.0,0.0,0.0,14.1,90.2908,28.2091,22.0,31.0,-1.0,6133.0,0.213975
34,242.738,0.0,0.0,2.21208,-17.3467,3.9574,1113.2,-0.0507333,0.6,0.0,157.0,0.0,7198.09,17321.8,116914.0,6.0,0.0,0.0,0.0,5.99224,90.30090000000001,28.2104,8.0,31.0,-1.0,6277.0,0.0
35,296.145,0.0,0.0,2.23106,-10.22,3.97032,1090.9,-0.0764217,0.0,0.932793,105.652,0.116175,500.0,21306.2,118596.0,6.0,0.0,0.0,0.0,7.25762,90.2078,28.2071,14.0,22.0,-1.0,5523.0,0.0
36,328.384,0.0,0.0,2.22946,-11.5017,3.96886,1092.24,-0.00750833,3.2,3.79414,116.637,0.298888,250.0,20619.8,118271.0,7.0,0.0,0.0,0.0,40.3765,90.2182,28.2084,68.0,22.0,96.0,5959.0,0.0
37,335.035,0.0,1.45246,2.22786,-12.5283,3.9674,1099.48,-0.05358,1.0,5.41925,129.598,0.203118,1250.0,19978.6,117953.0,6.0,0.0,0.0,0.0,21.0393,90.2284,28.2098,28.0,31.0,-1.0,5982.0,1.45246
38,47.343,0.0,1.43971,2.22624,-9.90667,3.96594,1100.81,0.0326,1.4,1.55217,151.986,0.230392,1677.05,19385.4,117644.0,7.0,0.0,0.0,0.0,36.5129,90.2385,28.2111,61.0,31.0,81.0,5632.0,1.43971
39,337.32,0.0,1.36571,2.22462,-10.0317,3.96448,1102.15,-0.0892,1.8,0.0,157.0,0.0,2304.89,18831.1,117341.0,6.0,0.0,0.0,0.0,7.55322,90.2486,28.2124,9.0,31.0,-1.0,5613.0,1.36571
40,293.936,0.0,1.43112,2.223,-11.1667,3.96302,1103.53,0.034625,2.2,5.95503,148.323,0.142524,3132.49,18324.3,117047.0,7.0,0.0,0.0,0.0,41.7549,90.2587,28.2137,77.0,22.0,-1.0,5876.0,1.43112
41,24.0794,0.0,0.0,2.22136,-12.3183,3.96156,1104.92,0.00127333,2.6,2.71888,118.874,0.179536,4038.87,17864.5,116760.0,7.0,0.0,0.0,0.0,12.7394,90.2689,28.215,20.0,31.0,-1.0,5671.0,0.0
42,264.679,0.0,0.881635,2.21972,-13.6167,3.96009,1106.34,-0.0751217,1.4,0.0,157.0,0.160089,4981.21,17448.4,116482.0,6.0,80.0,8.0,12.0,10.9235,90.2793,28.2163,17.0,31.0,-1.0,5908.0,0.881635
43,265.343,0.0,0.213975,2.21808,-15.465,3.95863,1107.79,-0.0638567,0.2,0.0,157.0,0.0,5942.43,17071.8,116211.0,6.0,0.0,0.0,0.0,21.9266,90.2891,28.2176,30.0,31.0,-1.0,6153.0,0.213975
44,215.981,0.0,0.601332,2.21642,-16.7567,3.95717,1109.26,-0.058615,0.4,0.0,157.0,0.116175,6914.66,16730.7,115948.0,6.0,0.0,0.0,0.0,9.81209,90.29920000000001,28.2189,15.0,31.0,-1.0,6323.0,0.601332
45,113.84,0.0,0.0,2.23536,-9.295,3.97008,1086.85,0.0119067,2.0,7.84702,142.98,0.210088,901.388,20768.3,117652.0,7.0,0.0,0.0,0.0,41.4946,90.2065,28.216,71.0,22.0,-1.0,5554.0,0.0
46,354.983,0.0,0.0,2.23376,-8.39833,3.96862,1094.14,-0.105862,1.4,2.09055,107.606,0.302064,250.0,20062.8,117324.0,6.0,0.0,0.0,0.0,5.44246,90.2166,28.2173,10.0,22.0,-1.0,5453.0,0.0
47,342.332,0.0,1.45246,2.23216,-10.2067,3.96716,1095.45,0.0301067,1.4,7.49922,152.876,0.265317,559.017,19406.8,117004.0,7.0,0.0,0.0,0.0,38.2174,90.2267,28.2186,53.0,22.0,90.0,5766.0,1.45246
48,282.047,0.0,1.88933,2.23056,-8.31167,3.9657,1096.79,-0.0752267,0.8,0.0,157.0,0.318367,901.388,18804.2,116692.0,6.0,0.0,0.0,0.0,11.6242,90.2369,28.2199,15.0,22.0,-1.0,5463.0,1.88933
49,1.05842,0.0,1.71305,2.22894,-9.155,3.96424,1098.14,-0.119558,2.6,0.0,157.0,0.0,1820.03,18244.9,116387.0,6.0,0.0,0.0,0.0,9.6614,90.2473,28.2212,12.0,22.0,-1.0,5510.0,1.71305
